chr	pos	rate	cM
Chr04	44116683	1.543651451	69.09
Chr04	44382287	3.728062062	69.5
Chr04	44733676	4.914440042	70.81
Chr04	45185406	4.370756724	73.03
Chr04	45391320	2.502558419	73.93
Chr04	45615091	2.657689582	74.49
Chr04	45987595	3.640879597	75.48
Chr04	46388597	2.002506167	76.94
Chr04	46718184	3.272841552	77.6
Chr04	47255943	3.731492875	79.36
Chr04	47580210	0	80.57
Chr04	47809372	0	80.57
Chr04	48570652	0	80.57
Chr04	48629224	0	80.57
Chr04	49810338	0	80.57
Chr04	50161127	0	80.57
Chr04	51225414	0.946806679	80.57
Chr04	51922494	1.864732318	81.23
Chr04	52458764	3.95431602	82.23
Chr04	53877467	0	87.84
Chr05	18845	0	0
Chr05	152161	1.440789322	0
Chr05	325677	4.661806379	0.25
Chr05	2723889	1.239648931	11.43
Chr05	2804557	2.106031258	11.53
Chr05	3141684	3.067534847	12.24
Chr05	3386180	3.107698095	12.99
Chr05	3875288	1.254915084	14.51
Chr05	4162160	2.251210025	14.87
Chr05	4721859	4.356493917	16.13
Chr05	5068468	2.786721512	17.64
Chr05	6733507	2.974638453	22.28
Chr05	7005809	3.103827215	23.09
Chr05	7363432	2.471613519	24.2
Chr05	7565729	2.771642631	24.7
Chr05	7912094	4.949440886	25.66
Chr05	8085851	3.884082064	26.52
Chr05	8747526	3.599631495	29.09
Chr05	9239243	2.743952312	30.86
Chr05	10376289	2.511511093	33.98
Chr05	10495739	3.136805641	34.28
Chr05	10642385	3.137160989	34.74
Chr05	11059960	1.601935138	36.05
Chr05	11184809	3.005801196	36.25
Chr05	11317885	8.427119013	36.65
Chr05	11354671	3.623632775	36.96
Chr05	11534049	2.41491901	37.61
Chr05	12035101	1.392893458	38.82
Chr05	12106894	2.579658912	38.92
Chr05	12420889	3.184456265	39.73
Chr05	12643847	2.990802312	40.44
Chr05	13416215	2.189186934	42.75
Chr05	14338932	1.909353689	44.77
Chr05	15318321	0.945161717	46.64
Chr05	15371222	1.957289041	46.69
Chr05	15989424	0.39022732	47.9
Chr05	17142598	0.964245767	48.35
Chr05	17350014	0.224824187	48.55
Chr05	17572410	0.471962718	48.6
Chr05	18313994	0.439599086	48.95
Chr05	18427734	2.472366779	49
Chr05	18593567	1.129938396	49.41
Chr05	18814818	0.244271229	49.66
Chr05	19224199	0	49.76
Chr05	19337015	0.613308801	49.76
Chr05	19500065	1.484507678	49.86
Chr05	19836877	0	50.36
Chr05	20134762	0.421411053	50.36
Chr05	20372060	0.563316809	50.46
Chr05	20549580	0.205624234	50.56
Chr05	20792742	0.493264474	50.61
Chr05	20995473	0.738116327	50.71
Chr05	21212241	0.55705341	50.87
Chr05	21391757	0.734110904	50.97
Chr05	22072853	0.456148887	51.47
Chr05	22401693	0	51.62
Chr05	22638121	0	51.62
Chr05	24435095	0	51.62
Chr05	24517135	0	51.62
Chr05	25226734	0	51.62
Chr05	25541348	0	51.62
Chr05	25742563	0.087729918	51.62
Chr05	26882425	0.70550553	51.72
Chr05	27307652	0.915695013	52.02
Chr05	27471462	0.15916977	52.17
Chr05	27848418	0.07246923	52.23
Chr05	28538366	0.194404268	52.28
Chr05	29567150	0	52.48
Chr05	29925305	0.111385739	52.48
Chr05	30823086	0	52.58
Chr05	30926342	0	52.58
Chr05	31142284	0	52.58
Chr05	31518615	0.649485607	52.58
Chr05	31595599	0.538305844	52.63
Chr05	31688483	0.116956237	52.68
Chr05	32971014	0.266393879	52.83
Chr05	33158706	0	52.88
Chr05	33831617	0	52.88
Chr05	34835747	0	52.88
Chr05	35457239	0	52.88
Chr05	35954268	0	52.88
Chr05	36143290	0	52.88
Chr05	36345119	0	52.88
Chr05	36486633	0	52.88
Chr05	36879328	0	52.88
Chr05	36904703	0	52.88
Chr05	37041814	0	52.88
Chr05	37583481	0	52.88
Chr05	37875864	0	52.88
Chr05	38077031	0	52.88
Chr05	38390664	0	52.88
Chr06	293362	0	0
Chr06	1047528	0	0
Chr06	1151967	0.947551947	0
Chr06	1626875	0.720048675	0.45
Chr06	1904634	0.826750382	0.65
Chr06	2763418	0	1.36
Chr06	3097566	0.447251861	1.36
Chr06	3768329	1.18552009	1.66
Chr06	4999856	0.58379161	3.12
Chr06	5171150	0.738158588	3.22
Chr06	7284517	1.106878141	4.78
Chr06	7781410	0	5.33
Chr06	8218996	0.274806578	5.33
Chr06	9165116	0	5.59
Chr06	9770362	0	5.59
Chr06	10049011	0.176208659	5.59
Chr06	10616520	0.310223733	5.69
Chr06	10777694	0	5.74
Chr06	10896248	0	5.74
Chr06	11037399	0	5.74
Chr06	11091293	0	5.74
Chr06	11296513	0.221036484	5.74
Chr06	11975134	0	5.89
Chr06	12093188	0.59168009	5.89
Chr06	12769229	0.164156172	6.29
Chr06	13073817	0.035224737	6.34
Chr06	14493274	0.53530516	6.39
Chr06	14773488	0	6.54
Chr06	15309912	0	6.54
Chr06	15370307	0	6.54
Chr06	15567959	0	6.54
Chr06	16302883	0	6.54
Chr06	16758817	0.041083115	6.54
Chr06	17975862	0	6.59
Chr06	18200033	0	6.59
Chr06	18303538	0	6.59
Chr06	18421998	0	6.59
Chr06	20057056	0	6.59
Chr06	20224358	0	6.59
Chr06	20648440	0.323029761	6.59
Chr06	21267578	0.219937802	6.79
Chr06	21494915	0.578700659	6.84
Chr06	21684996	0.168449234	6.95
Chr06	22575472	0.649517949	7.1
Chr06	23037353	0.208059966	7.4
Chr06	23758299	0	7.55
Chr06	24305248	0.423122816	7.55
Chr06	24659755	0.434671106	7.7
Chr06	24889814	0	7.8
Chr06	25044411	0	7.8
Chr06	25245621	0.136869306	7.8
Chr06	25610933	0.663454564	7.85
Chr06	26289201	1.029841642	8.3
Chr06	26541667	0.227303723	8.56
Chr06	26981607	0.215964996	8.66
Chr06	27213126	1.350475367	8.71
Chr06	27472294	0	9.06
Chr06	27499501	1.219790773	9.06
Chr06	27950398	1.37475332	9.61
Chr06	28175893	0	9.92
Chr06	28414686	0.792701509	9.92
Chr06	28982365	1.548668759	10.37
Chr06	29795967	1.814303308	11.63
Chr06	30159743	0	12.29
Chr06	30231839	0.517060408	12.29
Chr06	30618641	1.594303024	12.49
Chr06	31183151	1.776576061	13.39
Chr06	31413932	2.791880407	13.8
Chr06	32209095	1.790066251	16.02
Chr06	32745388	3.516668152	16.98
Chr06	34383302	3.178363605	22.74
Chr06	35097506	1.881658533	25.01
Chr06	35501405	4.202507496	25.77
Chr06	35801226	3.713942054	27.03
Chr06	36275116	6.133665614	28.79
Chr06	36482170	4.619953452	30.06
Chr06	37114211	2.822554061	32.98
Chr06	37599587	4.836155724	34.35
Chr06	40291808	7.250702652	47.37
Chr06	40682115	6.982215589	50.2
Chr06	41077405	7.044911747	52.96
Chr06	41652288	0	57.01
Chr07	97737	4.355171977	0
Chr07	1525924	4.52079566	6.22
Chr07	2240400	3.412546484	9.45
Chr07	2668233	4.055234569	10.91
Chr07	3195946	3.177377075	13.05
Chr07	3498082	2.35452405	14.01
Chr07	3646732	4.669177169	14.36
Chr07	4764702	3.515046596	19.58
Chr07	4992295	5.360264024	20.38
Chr07	5729199	3.013774222	24.33
Chr07	6435954	3.076328724	26.46
Chr07	6715508	2.697756366	27.32
Chr07	7316007	1.292131565	28.94
Chr07	7625573	2.434808015	29.34
Chr07	7871999	2.875179699	29.94
Chr07	8031989	0	30.4
Chr07	8054055	3.069200235	30.4
Chr07	8200673	1.476632294	30.85
Chr07	9053966	1.548353035	32.11
Chr07	9447933	1.07609862	32.72
Chr07	9773182	1.677852349	33.07
Chr07	9981782	0	33.42
Chr07	10084824	0.799309397	33.42
Chr07	10522702	2.367014214	33.77
Chr07	10695916	1.375392847	34.18
Chr07	10841329	0	34.38
Chr07	11109874	0	34.38
Chr07	11437211	2.072042417	34.38
Chr07	12117699	1.951069378	35.79
Chr07	12481602	2.794271743	36.5
Chr07	12696327	0.688741004	37.1
Chr07	13582001	0.573205326	37.71
Chr07	14367060	0.481653807	38.16
Chr07	14574678	0.577428049	38.26
Chr07	15267405	0	38.66
Chr07	15533528	0.33630725	38.66
Chr07	16157957	0	38.87
Chr07	16745983	0	38.87
Chr07	18219455	0	38.87
Chr07	18879320	0	38.87
Chr07	19230400	0	38.87
Chr07	19882543	0	38.87
Chr07	20016122	0	38.87
Chr07	20599592	0	38.87
Chr07	21066043	0	38.87
Chr07	21267073	0	38.87
Chr07	21504549	0	38.87
Chr07	22172370	0	38.87
Chr07	22219538	0.144314305	38.87
Chr07	22566004	0.041827633	38.92
Chr07	23761386	0	38.97
Chr07	23848789	0.305973209	38.97
Chr07	24339028	0.536028419	39.12
Chr07	25365093	1.625340007	39.67
Chr07	26201841	1.040998693	41.03
Chr07	26441995	1.59512442	41.28
Chr07	27169211	0.899791505	42.44
Chr07	27558190	0	42.79
Chr07	27564934	1.586747842	42.79
Chr07	28453544	1.657002635	44.2
Chr07	29370863	1.974203738	45.72
Chr07	30009095	3.179594841	46.98
Chr07	30468273	1.984341385	48.44
Chr07	30977258	2.558845517	49.45
Chr07	31922997	2.636425008	51.87
Chr07	32173336	1.60363533	52.53
Chr07	32803155	4.438953914	53.54
Chr07	33280745	2.391254165	55.66
Chr07	34125490	0	57.68
Chr08	247176	4.522927858	0
Chr08	660625	4.640491734	1.87
Chr08	1546307	4.123027892	5.98
Chr08	3018526	2.514136212	12.05
Chr08	4526002	1.921022203	15.84
Chr08	5072586	2.11712592	16.89
Chr08	5195394	2.47368982	17.15
Chr08	6480923	1.117296406	20.33
Chr08	7241688	1.984940068	21.18
Chr08	7397864	1.330292664	21.49
Chr08	7660964	2.1293544	21.84
Chr08	8820940	2.383883666	24.31
Chr08	10071001	3.141869205	27.29
Chr08	10650274	3.839711254	29.11
Chr08	10858623	2.017865146	29.91
Chr08	11284816	0.538300048	30.77
Chr08	11377701	1.40186097	30.82
Chr08	11663036	2.572656338	31.22
Chr08	12016756	0.806308558	32.13
Chr08	12140778	1.839159382	32.23
Chr08	12303896	0	32.53
Chr08	12319508	2.138569445	32.53
Chr08	13334205	2.056407251	34.7
Chr08	13528719	2.8711607	35.1
Chr08	16377741	3.373001233	43.28
Chr08	16662354	3.32232299	44.24
Chr08	17026557	2.559796855	45.45
Chr08	17319549	1.039139177	46.2
Chr08	17512016	2.363082705	46.4
Chr08	18218720	3.556486708	48.07
Chr08	18373367	1.415001477	48.62
Chr08	18698455	1.602546981	49.08
Chr08	18979258	2.784939385	49.53
Chr08	19216247	0.874125874	50.19
Chr08	19330647	0	50.29
Chr08	19392747	0.958715321	50.29
Chr08	19809972	1.825150575	50.69
Chr08	20166107	1.821437782	51.34
Chr08	20720614	2.297449708	52.35
Chr08	21534560	1.142066553	54.22
Chr08	21841022	1.057102682	54.57
Chr08	22938361	0.924248586	55.73
Chr08	23425243	0.132053994	56.18
Chr08	24182509	0.28749346	56.28
Chr08	24530343	0.229108721	56.38
Chr08	24966817	0.87157869	56.48
Chr08	25311020	0.310684438	56.78
Chr08	25471955	0.588575023	56.83
Chr08	25743798	0	56.99
Chr08	25811226	0.858521844	56.99
Chr08	26451862	0	57.54
Chr08	26530248	0	57.54
Chr08	26901486	0	57.54
Chr08	27395610	0	57.54
Chr08	27584916	0	57.54
Chr08	27644979	0	57.54
Chr08	27845090	0	57.54
Chr08	28144681	0	57.54
Chr08	28531631	0	57.54
Chr08	28967814	0	57.54
Chr08	29152895	0	57.54
Chr08	29253786	0	57.54
Chr08	30218002	0	57.54
Chr08	30651954	0	57.54
Chr08	31804897	0	57.54
Chr08	32677398	0	57.54
Chr08	32766258	0.30179113	57.54
Chr08	33097613	1.132615067	57.64
Chr08	33238879	0.150104172	57.8
Chr08	33571981	0	57.85
Chr08	34062955	0.622682174	57.85
Chr08	37290926	0.618062251	59.86
Chr08	37452722	2.105560619	59.96
Chr08	37813671	1.455447314	60.72
Chr08	40376457	2.063089653	64.45
Chr08	40914485	2.445301413	65.56
Chr08	41163943	2.232911967	66.17
Chr08	41683444	2.621915053	67.33
Chr08	42934438	4.102823304	70.61
Chr08	44216482	2.005716291	75.87
Chr08	44395969	3.918203582	76.23
Chr08	44651188	0.567375887	77.23
Chr08	44739313	2.347004635	77.28
Chr08	44892700	3.720203495	77.64
Chr08	45107742	14.19816759	78.44
Chr08	45190147	3.013114581	79.61
Chr08	45322900	4.760816575	80.01
Chr08	45375412	6.752194463	80.26
Chr08	45532398	4.758142445	81.32
Chr08	45872867	5.160444418	82.94
Chr08	46775890	0	87.6
Chr08	46816102	0	87.6
Chr08	46884763	0	87.6
Chr09	392419	1.886782425	0
Chr09	768721	2.2583996	0.71
Chr09	2681580	2.759071355	5.03
Chr09	2957035	1.409487707	5.79
Chr09	3496238	1.090304468	6.55
Chr09	4046543	0.765415468	7.15
Chr09	4307839	1.117263821	7.35
